track_id,album_comments,album_date_created,album_date_released,album_engineer,album_favorites,album_id,album_information,album_listens,album_producer,album_tags,album_title,album_tracks,album_type,artist_active_year_begin,artist_active_year_end,artist_associated_labels,artist_bio,artist_comments,artist_date_created,artist_favorites,artist_id,artist_latitude,artist_location,artist_longitude,artist_members,artist_name,artist_related_projects,artist_tags,artist_website,artist_wikipedia_page,set_split,set_subset,track_bit_rate,track_comments,track_composer,track_date_created,track_date_recorded,track_duration,track_favorites,track_genre_top,track_genres,track_genres_all,track_information,track_interest,track_language_code,track_license,track_listens,track_lyricist,track_number,track_publisher,track_tags,track_title
2,0,11/26/08 1:44,1/5/09 0:00,,4,1,<p></p>,6073,,[],AWOL - A Way Of Life,7,Album,1/1/06 0:00,,,"<p>A Way Of Life, A Collective of Hip-Hop from NJ...................</p>",0,11/26/08 1:42,9,1,40.0583238,New Jersey,-74.4056612,"Sajje Morocco,Brownbum,ZawidaGod,Custodian of Records,Zooberelli the Don,F.A.H,MadSicka,Damien Omenicci..and a van load more...",AWOL,The list of past projects is 2 long but every1 and every style from Tabby Bonet 2 M.O.P..Azillion Records Flagship trackmaster DJ BrownBum is a beat Wizard.....A-2-Z..illion....(right now working with JerseyBlock Ent),['awol'],http://www.AzillionRecords.blogspot.com,,training,small,256000,0,,11/26/08 1:48,11/26/08 0:00,168,2,Hip-Hop,[21],[21],,4656,en,Attribution-NonCommercial-ShareAlike 3.0 International,1293,,3,,[],Food
3,0,11/26/08 1:44,1/5/09 0:00,,4,1,<p></p>,6073,,[],AWOL - A Way Of Life,7,Album,1/1/06 0:00,,,"<p>A Way Of Life, A Collective of Hip-Hop from NJ...................</p>",0,11/26/08 1:42,9,1,40.0583238,New Jersey,-74.4056612,"Sajje Morocco,Brownbum,ZawidaGod,Custodian of Records,Zooberelli the Don,F.A.H,MadSicka,Damien Omenicci..and a van load more...",AWOL,The list of past projects is 2 long but every1 and every style from Tabby Bonet 2 M.O.P..Azillion Records Flagship trackmaster DJ BrownBum is a beat Wizard.....A-2-Z..illion....(right now working with JerseyBlock Ent),['awol'],http://www.AzillionRecords.blogspot.com,,training,medium,256000,0,,11/26/08 1:48,11/26/08 0:00,237,1,Hip-Hop,[21],[21],,1470,en,Attribution-NonCommercial-ShareAlike 3.0 International,514,,4,,[],Electric Ave
5,0,11/26/08 1:44,1/5/09 0:00,,4,1,<p></p>,6073,,[],AWOL - A Way Of Life,7,Album,1/1/06 0:00,,,"<p>A Way Of Life, A Collective of Hip-Hop from NJ...................</p>",0,11/26/08 1:42,9,1,40.0583238,New Jersey,-74.4056612,"Sajje Morocco,Brownbum,ZawidaGod,Custodian of Records,Zooberelli the Don,F.A.H,MadSicka,Damien Omenicci..and a van load more...",AWOL,The list of past projects is 2 long but every1 and every style from Tabby Bonet 2 M.O.P..Azillion Records Flagship trackmaster DJ BrownBum is a beat Wizard.....A-2-Z..illion....(right now working with JerseyBlock Ent),['awol'],http://www.AzillionRecords.blogspot.com,,training,small,256000,0,,11/26/08 1:48,11/26/08 0:00,206,6,Hip-Hop,[21],[21],,1933,en,Attribution-NonCommercial-ShareAlike 3.0 International,1151,,6,,[],This World
10,0,11/26/08 1:45,2/6/08 0:00,,4,6,,47632,,[],Constant Hitmaker,2,Album,,,"Mexican Summer, Richie Records, Woodsist, Skulltones","<p><span style=""font-family:Verdana, Geneva, Arial;font-size:xx-small;"">""Philly's Constant Hitmaker"" Kurt Vile plays psychedelic experimental pop infused with a classic, folksy directness. 2008's Gulcher Records release <i>Constant Hitmaker</i> more than lives up to the name. Vile's a consistent live performer who's shared the stage with a range of sonic adventurers and avant pop-stars including Sonic Youth, Big Star, Blues Control, Magik Markers, and Ariel Pink's Haunted Graffiti.</span></p><p><span style=""font-family:Verdana, Geneva, Arial;font-size:xx-small;"">After a slew of limited releases on labels like Mexican Summer, Richie Records, Woodsist, and Skulltones,</span><span style=""font-family:Verdana, Geneva, Arial;font-size:xx-small;""> Kurt Vile signed to Matador Records who released his first proper full-length (the Gulcher release was more of a ""greatest hits""), <a title=""Childish Prodigy"" href=""http://www.matadorrecords.com/store/index.php?catalog_id=387"">Childish Prodigy</a>.<br /></span></p>",3,11/26/08 1:42,74,6,,,,"Kurt Vile, the Violators",Kurt Vile,,"['philly', 'kurt vile']",http://kurtvile.com,,training,small,192000,0,Kurt Vile,11/25/08 17:49,11/26/08 0:00,161,178,Pop,[10],[10],,54881,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,50135,,1,,[],Freeway
20,0,11/26/08 1:45,1/6/09 0:00,,2,4,"<p> ""spiritual songs"" from Nicky Cook</p>",2710,,[],Niris,13,Album,1/1/90 0:00,1/1/11 0:00,,"<p>Songs written by: Nicky Cook</p>
<p>VOCALS, CAJON AND TABLA+ UKELELE</p>",2,11/26/08 1:42,10,4,51.895927,Colchester England,0.891874,"Nicky Cook
",Nicky Cook,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",,,training,large,256000,0,,11/26/08 1:48,1/1/08 0:00,311,0,,"[76, 103]","[17, 10, 76, 103]",,978,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,361,,3,,[],Spiritual Level
26,0,11/26/08 1:45,1/6/09 0:00,,2,4,"<p> ""spiritual songs"" from Nicky Cook</p>",2710,,[],Niris,13,Album,1/1/90 0:00,1/1/11 0:00,,"<p>Songs written by: Nicky Cook</p>
<p>VOCALS, CAJON AND TABLA+ UKELELE</p>",2,11/26/08 1:42,10,4,51.895927,Colchester England,0.891874,"Nicky Cook
",Nicky Cook,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",,,training,large,256000,0,,11/26/08 1:49,1/1/08 0:00,181,0,,"[76, 103]","[17, 10, 76, 103]",,1060,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,193,,4,,[],Where is your Love?
30,0,11/26/08 1:45,1/6/09 0:00,,2,4,"<p> ""spiritual songs"" from Nicky Cook</p>",2710,,[],Niris,13,Album,1/1/90 0:00,1/1/11 0:00,,"<p>Songs written by: Nicky Cook</p>
<p>VOCALS, CAJON AND TABLA+ UKELELE</p>",2,11/26/08 1:42,10,4,51.895927,Colchester England,0.891874,"Nicky Cook
",Nicky Cook,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",,,training,large,256000,0,,11/26/08 1:49,1/1/08 0:00,174,0,,"[76, 103]","[17, 10, 76, 103]",,718,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,612,,5,,[],Too Happy
46,0,11/26/08 1:45,1/6/09 0:00,,2,4,"<p> ""spiritual songs"" from Nicky Cook</p>",2710,,[],Niris,13,Album,1/1/90 0:00,1/1/11 0:00,,"<p>Songs written by: Nicky Cook</p>
<p>VOCALS, CAJON AND TABLA+ UKELELE</p>",2,11/26/08 1:42,10,4,51.895927,Colchester England,0.891874,"Nicky Cook
",Nicky Cook,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",,,training,large,256000,0,,11/26/08 1:49,1/1/08 0:00,104,0,,"[76, 103]","[17, 10, 76, 103]",,252,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,171,,8,,[],Yosemite
48,0,11/26/08 1:45,1/6/09 0:00,,2,4,"<p> ""spiritual songs"" from Nicky Cook</p>",2710,,[],Niris,13,Album,1/1/90 0:00,1/1/11 0:00,,"<p>Songs written by: Nicky Cook</p>
<p>VOCALS, CAJON AND TABLA+ UKELELE</p>",2,11/26/08 1:42,10,4,51.895927,Colchester England,0.891874,"Nicky Cook
",Nicky Cook,,"['instrumentals', 'experimental pop', 'post punk', 'experimental rock', 'soundtracks', 'lo fi', 'nicky', 'impro', 'cook', 'nicky andrews', 'ukelele', 'nicky cook', 'singer songwriter', 'tabla']",,,training,large,256000,0,,11/26/08 1:49,1/1/08 0:00,205,0,,"[76, 103]","[17, 10, 76, 103]",,247,en,Attribution-NonCommercial-NoDerivatives (aka Music Sharing) 3.0 International,173,,9,,[],Light of Light
134,0,11/26/08 1:44,1/5/09 0:00,,4,1,<p></p>,6073,,[],AWOL - A Way Of Life,7,Album,1/1/06 0:00,,,"<p>A Way Of Life, A Collective of Hip-Hop from NJ...................</p>",0,11/26/08 1:42,9,1,40.0583238,New Jersey,-74.4056612,"Sajje Morocco,Brownbum,ZawidaGod,Custodian of Records,Zooberelli the Don,F.A.H,MadSicka,Damien Omenicci..and a van load more...",AWOL,The list of past projects is 2 long but every1 and every style from Tabby Bonet 2 M.O.P..Azillion Records Flagship trackmaster DJ BrownBum is a beat Wizard.....A-2-Z..illion....(right now working with JerseyBlock Ent),['awol'],http://www.AzillionRecords.blogspot.com,,training,medium,256000,0,,11/26/08 1:43,11/26/08 0:00,207,3,Hip-Hop,[21],[21],,1126,en,Attribution-NonCommercial-ShareAlike 3.0 International,943,,5,,[],Street Music
